,Pressure,Call_ROI
0,0.5,-0.39285714285714285
1,0.5,-0.38095238095238093
2,0.5,-0.5789473684210527
3,0.6,-0.3688524590163934
4,0.5,-0.6235294117647059
5,0.5,-0.05128205128205122
6,0.6,-0.6923076923076923
7,0.5,-0.4444444444444445
8,0.6,-0.14666666666666664
9,0.4,-0.461904761904762
10,0.6,-0.7862595419847328
11,0.4,-0.4021739130434782
12,0.5,-0.412621359223301
13,0.5,-0.02512562814070354
14,0.6,-0.4663677130044843
15,0.6,-0.5118483412322274
16,0.5,0.5882352941176472
17,0.6,0.02499999999999991
18,0.4,-0.7142857142857143
19,0.4,-0.5833333333333333
20,0.5,-0.253623188405797
21,0.5,-0.4485294117647059
22,0.5,-0.6323529411764706
23,0.5,-0.4953271028037383
24,0.6,0.9636363636363637
25,0.5,-0.3333333333333333
26,0.4,-0.17948717948717943
27,0.6,-0.2962962962962964
28,0.5,-0.5098039215686274
29,0.5,-0.2572614107883818
30,0.5,-0.3493449781659389
31,0.4,-0.3417085427135678
32,0.5,-0.4478260869565217
33,0.6,-0.220532319391635
34,0.4,-0.48666666666666664
35,0.5,-0.8333333333333334
36,0.5,-0.2365591397849463
37,0.4,-0.7358490566037736
38,0.4,-0.4335664335664335
39,0.4,-0.32857142857142857
40,0.6,-0.23076923076923075
41,0.4,-0.1538461538461538
42,0.4,-0.32203389830508466
43,0.5,-0.29816513761467894
44,0.5,-0.36486486486486497
45,0.5,-0.3544973544973545
46,0.5,-0.11004784688995205
47,0.5,-0.6549707602339182
48,0.5,-0.5714285714285714
49,0.5,-0.5210526315789473
50,0.7,-0.15525114155251135
51,0.6,-0.7177914110429447
52,0.6,-0.5463414634146341
53,0.6,-0.5257731958762887
54,0.5,0.2426035502958581
55,0.3,0.08695652173913052
56,0.5,0.48275862068965514
57,0.5,0.2076923076923077
58,0.7,-0.11111111111111106
59,0.5,-0.06122448979591842
60,0.3,-0.29069767441860467
61,0.6,-0.13768115942028983
62,0.5,-0.19047619047619047
63,0.4,-0.027027027027027053
64,0.6,-0.3472222222222222
65,0.4,-0.026041666666666574
66,0.4,-0.12154696132596683
67,0.4,-0.2233009708737864
68,0.5,-0.1944444444444445
69,0.6,-0.05806451612903231
70,0.5,-0.4117647058823529
71,0.5,-0.3953488372093023
72,0.4,-0.2890625
73,0.6,-0.18681318681318684
74,0.5,0.019354838709677438
75,0.5,-0.12598425196850388
76,0.5,-0.026315789473684043
77,0.9,-0.9181818181818181
78,0.7,-0.24999999999999992
79,0.9,-0.38235294117647056
80,0.5,-0.20817843866171007
81,0.5,-0.27819548872180455
82,0.5,-0.4048442906574395
83,0.6,-0.38260869565217387
84,0.6,-0.37155963302752293
85,0.5,-0.4831460674157303
86,0.5,-0.4424242424242424
87,0.6,-0.4894736842105263
88,0.5,-0.35416666666666663
89,0.6,-0.2622950819672131
90,0.5,-0.16000000000000003
91,0.5,-0.10317460317460327
92,0.4,0.07228915662650609
93,0.4,-0.021276595744680753
94,0.6,-0.5387755102040818
95,0.5,-0.5545454545454546
96,0.5,-0.5586206896551724
97,0.5,-0.35833333333333334
98,0.5,-0.4119402985074627
99,0.6,-0.38461538461538464
100,0.3,-0.4
101,0.4,-0.55625
102,0.4,-0.5079365079365079
103,0.6,0.07518796992481203
104,0.6,-0.3684210526315789
105,0.6,-0.38095238095238093
106,0.6,-0.5
107,0.6,-0.5
108,0.6,-0.625
109,0.4,-0.6511627906976744
110,0.7,-0.9444444444444444
111,0.3,-0.7500000000000001
112,0.2,-0.6666666666666666
113,0.5,1.2424242424242427
114,0.5,0.9393939393939396
115,0.4,1.0869565217391306
116,0.6,-0.17500000000000004
117,0.4,-0.7631578947368421
118,0.5,-0.03883495145631071
119,0.6,0.06603773584905645
120,0.5,0.19696969696969704
121,0.5,0.13793103448275862
122,0.6,0.2678571428571427
123,0.4,0.5
124,0.6,0.06153846153846148
125,0.5,-0.6485148514851485
126,0.5,-0.11999999999999993
127,0.5,-0.3448275862068966
128,0.3,-0.47368421052631576
129,0.6,-0.5161290322580645
130,0.5,-0.3571428571428571
131,0.5,-0.37500000000000006
132,0.5,-0.24117647058823524
133,0.4,-0.45669291338582685
134,0.4,-0.3
135,0.5,0.5504587155963301
136,0.4,0.7159090909090909
137,0.3,0.21111111111111117
138,0.4,0.07526881720430102
139,0.5,-0.4603174603174603
140,0.5,0.6000000000000001
141,0.5,0.2499999999999999
142,0.5,-0.34647887323943666
143,0.7,-0.7368421052631579
144,0.5,-0.6428571428571429
145,0.6,-0.8028169014084506
146,0.6,-0.9078014184397162
147,0.3,-0.34920634920634924
148,0.3,-0.9929411764705882
149,0.2,-0.75
150,0.1,-0.9965277777777779
