,Symbol,Date,Pressure,Call_Open_Int,Put_Open_Int,Call_ROI,Put_ROI
0,ZTS,2016-10-25,0.6471518987341772,2.0,10.0,-0.6976744186046512,0.6399999999999999
1,ZTS,2016-10-26,0.6447999999999999,,13.0,-0.5681818181818182,0.5833333333333334
2,ZSL,2016-10-06,0.39164696611505123,,,-0.1379310344827586,-0.28571428571428575
3,ZSL,2016-10-10,0.5785191212367778,10.0,,-0.30487804878048774,-0.2333333333333334
4,ZSL,2016-10-11,0.49296939619520264,10.0,,-0.10606060606060595,-0.3235294117647059
5,ZSL,2016-10-12,0.4358135731807032,,,-0.22413793103448273,-0.32894736842105265
6,ZSL,2016-10-14,0.46108291032148907,,,-0.3793103448275862,-0.14705882352941177
7,ZSL,2016-10-18,0.597799511002445,16.0,1.0,-0.3461538461538462,-0.20000000000000004
8,ZSL,2016-10-20,0.487012987012987,16.0,1.0,-0.40476190476190477,-0.26829268292682923
9,ZSL,2016-10-25,0.49070100143061507,16.0,5.0,-0.525,-0.35714285714285715
10,ZSL,2016-10-26,0.45786516853932585,16.0,5.0,-0.5277777777777778,-0.2790697674418604
11,ZSL,2016-10-27,0.47216494845360824,140.0,43.0,-0.64,0.1929824561403508
12,ZSL,2016-10-28,0.49476987447698745,140.0,43.0,-0.8113207547169812,0.4999999999999999
13,ZNGA,2016-10-10,0.4569288389513108,5832.0,342.0,-0.125,-0.06666666666666654
14,ZNGA,2016-10-11,0.496268656716418,6031.0,342.0,-0.3571428571428572,0.111111111111111
15,ZNGA,2016-10-25,0.5296671490593342,20.0,,-0.611111111111111,-0.125
16,ZNGA,2016-10-26,0.47509113001215064,20.0,,-0.6190476190476191,0.0
17,ZNGA,2016-10-27,0.3550561797752809,6114.0,227.0,-0.1875,-0.14285714285714282
18,ZNGA,2016-10-28,0.37880794701986753,6114.0,227.0,-0.4285714285714286,0.029411764705882214
19,ZLTQ,2016-10-06,0.4867037724180581,1946.0,1120.0,-0.10344827586206891,-0.24561403508771934
20,ZLTQ,2016-10-13,0.5264162953532782,1973.0,1129.0,-0.39999999999999997,-0.05660377358490563
21,ZLTQ,2016-10-27,0.5422343324250681,496.0,2088.0,-0.6590909090909092,0.31111111111111117
22,ZIOP,2016-10-06,0.42964824120603023,923.0,40.0,-0.4666666666666666,-0.16666666666666663
23,ZIOP,2016-10-11,0.40145985401459855,1623.0,40.0,-0.6153846153846154,-0.15999999999999998
24,ZIOP,2016-10-12,0.6127320954907162,369.0,198.0,-0.5909090909090909,0.0
25,ZIOP,2016-10-13,0.5815217391304348,529.0,261.0,-0.47058823529411764,-0.3076923076923077
26,ZIOP,2016-10-14,0.55,549.0,411.0,-0.38888888888888884,-0.3076923076923077
27,ZIOP,2016-10-27,0.339031339031339,5818.0,811.0,-0.1250000000000001,-0.47619047619047616
28,ZIOP,2016-10-28,0.6340057636887607,851.0,6242.0,-0.05882352941176463,-0.7500000000000001
29,ZION,2016-10-06,0.46679035250463824,214.0,201.0,-0.31578947368421045,0.17293233082706766
30,ZION,2016-10-10,0.44617668893838164,307.0,265.0,-0.5818181818181819,0.5214285714285715
31,ZION,2016-10-11,0.44395866454689986,307.0,267.0,-0.4433962264150944,0.36718749999999994
32,ZION,2016-10-12,0.55,342.0,570.0,-0.3481481481481482,0.165137614678899
33,ZION,2016-10-13,0.5347408829174665,353.0,580.0,-0.1574803149606299,-0.08181818181818189
34,ZION,2016-10-27,0.526183282980866,640.0,437.0,-0.1630434782608696,-0.15189873417721517
35,ZION,2016-10-28,0.59423828125,673.0,460.0,-0.6981132075471698,1.0303030303030303
36,ZGNX,2016-10-06,0.4771622934888241,37.0,,-0.5625,-0.9042553191489361
37,ZGNX,2016-10-12,0.521448999046711,,,-0.8229166666666666,-0.8936170212765957
38,ZGNX,2016-10-13,0.5054835493519442,,,-0.9489795918367347,-0.9574468085106382
39,ZGNX,2016-10-18,0.3983152827918171,,,-0.9787234042553192,-0.9787234042553192
40,ZGNX,2016-10-20,0.5325034578146611,,,-0.975609756097561,-0.975609756097561
41,ZGNX,2016-10-24,0.5108695652173914,,,-0.9893617021276596,-0.9333333333333332
42,ZGNX,2016-10-25,0.4798850574712645,,,-0.9895833333333334,-0.9722222222222222
43,ZGNX,2016-10-26,0.4949367088607595,,,-0.9888888888888889,-0.9883720930232559
44,ZGNX,2016-10-27,0.49949647532729113,17.0,20.0,-0.9791666666666667,-0.9574468085106382
45,ZGNX,2016-10-28,0.5185185185185186,,,-0.9895833333333334,-0.9895833333333334
46,ZG,2016-10-20,0.5481283422459893,,,-0.4222222222222222,-0.17948717948717943
47,ZG,2016-10-24,0.4258503401360544,5.0,,-0.6571428571428571,0.2127659574468085
48,ZG,2016-10-25,0.48753462603878117,5.0,,-0.6666666666666666,0.19999999999999996
49,ZG,2016-10-26,0.5951704545454546,,1.0,-0.08695652173913032,-0.34375
50,ZAGG,2016-10-06,0.48699763593380613,282.0,41.0,-0.5,-0.14285714285714282
51,ZAGG,2016-10-10,0.5125348189415042,262.0,41.0,-0.4666666666666666,-0.06666666666666672
52,ZAGG,2016-10-12,0.46022727272727265,262.0,41.0,-0.46153846153846156,-0.23529411764705876
53,ZAGG,2016-10-14,0.4126074498567335,297.0,41.0,-0.3636363636363637,-0.25000000000000006
54,ZAGG,2016-10-27,0.40752351097178685,226.0,449.0,-0.5555555555555556,-0.2666666666666666
55,ZAGG,2016-10-28,0.4433962264150943,226.0,448.0,-0.5833333333333334,0.24999999999999994
56,Z,2016-10-14,0.5000000000000001,,,0.1521739130434783,-0.5
